Time,Position_Robot,Speed_Robot,Speed_Wheel,Force_Wheel
0.00017762184143066406,1.959102533253198e-21,1.8807388286019088e-19,11.5,25.0
0.003741025924682617,8.758201928346368e-05,0.021019684628031284,11.5,25.0
0.007902145385742188,0.0002627130581219151,0.042031449321228334,11.5,25.0
0.01206350326538086,0.0005253340070944786,0.06302902775341525,11.5,25.0
0.016227006912231445,0.0008753593162891028,0.0840060742067098,11.5,25.0
0.020403385162353516,0.0013126764748239705,0.10495611804836828,11.5,25.0
0.02456068992614746,0.0018371453011839112,0.1258725183263858,11.5,25.0
0.028731107711791992,0.002366735346581651,0.12710161089545752,11.5,25.0
0.03289628028869629,0.0028968859706822126,0.12723614978413475,11.5,25.0
0.03705477714538574,0.003427590309347001,0.12736904127954918,11.5,25.0
0.04123377799987793,0.003958841403743785,0.1275002626552283,11.5,25.0
0.04538869857788086,0.004490632266864149,0.1276298071488874,11.5,25.0
0.049573421478271484,0.005022955883817929,0.12775766806890732,11.5,25.0
0.0537266731262207,0.00555580521210899,0.12788383878985454,11.5,25.0
0.05789327621459961,0.006089173181898094,0.1280083127493849,11.5,25.0
0.062064409255981445,0.006623052696256979,0.12813108344613244,11.5,25.0
0.06623363494873047,0.00715743663141643,0.12825214443826818,11.5,25.0
0.07039642333984375,0.007692317837010295,0.12837148934252754,11.5,25.0
0.07457613945007324,0.008227689136316847,0.12848911183357237,11.5,25.0
0.07873725891113281,0.008763543326498499,0.1286050056435966,11.5,25.0
0.0829010009765625,0.00929987317884063,0.1287191645621113,11.5,25.0
0.08707094192504883,0.009836671438990063,0.12883158243586393,11.5,25.0
0.09124016761779785,0.010373930827193638,0.128942253168858,11.5,25.0
0.09540414810180664,0.010911644038537179,0.12905117072244957,11.5,25.0
0.09956669807434082,0.011449803743185103,0.12915832911550193,11.5,25.0
0.10373497009277344,0.011988402586620874,0.12926372242458475,11.5,25.0
0.10790514945983887,0.012527433189888405,0.12936734478420744,11.5,25.0
0.1120600700378418,0.013066888149834564,0.12946919038707833,11.5,25.0
0.11626982688903809,0.013882446345644615,0.1957339669944123,11.5,25.0
0.12042379379272461,0.014339684537936099,0.109737166149956,11.5,25.0
0.12459373474121094,0.01436907199967009,0.007052990816158192,11.5,25.0
0.12876009941101074,0.014110125142634383,-0.06214724568856983,11.5,25.0
0.13291692733764648,0.013666918426171785,-0.10636961195102358,11.5,25.0
0.13707923889160156,0.013116954146646896,-0.13199142708597333,11.5,25.0
0.14128613471984863,0.012517299598670248,-0.14391709151439572,11.5,25.0
0.145463228225708,0.011909462094528252,-0.1458810009940788,11.5,25.0
0.1496412754058838,0.01138601035088246,-0.12562841847499015,11.5,25.0
0.1538100242614746,0.011656120262128197,0.06482637869897667,11.5,25.0
0.1579587459564209,0.012595327864274993,0.22540982451523134,11.5,25.0
0.1621992588043213,0.014180493062369829,0.3804396475427603,11.5,25.0
0.16635537147521973,0.016178579402322188,0.4795407215885663,11.5,25.0
0.1704857349395752,0.01850510484777205,0.5583661069079662,11.5,25.0
0.17470121383666992,0.021136248442808134,0.6314744628086608,11.5,25.0
0.17882061004638672,0.02403793463490861,0.6964046861041143,11.5,25.0
0.1829695701599121,0.027166453762181665,0.7508445905455333,11.5,25.0
0.18713831901550293,0.030481127147221076,0.7955216124094583,11.5,25.0
0.19137167930603027,0.033889631524039183,0.818041050436346,11.5,25.0
0.19550752639770508,0.03739213095832991,0.840599864229775,11.5,25.0
0.1996288299560547,0.040988933002287925,0.8632324905499229,11.5,25.0
0.20380735397338867,0.04471103547431,0.8933045932852968,11.5,25.0
0.20795440673828125,0.04847774376698279,0.9040099902414691,11.5,25.0
0.21211814880371094,0.05231043746037027,0.9198464864129956,11.5,25.0
0.21628093719482422,0.05622480951403581,0.9394492928797281,11.5,25.0
0.22047042846679688,0.0602325262594008,0.9618520188875976,11.5,25.0
0.22463226318359375,0.0643323447084146,0.9839564277633132,11.5,25.0
0.22878360748291016,0.0685112440083819,1.0029358319921509,11.5,25.0
0.23296380043029785,0.072775373653914,1.0233911149277017,11.5,25.0
0.23712825775146484,0.07703237700795207,1.021680804969137,11.5,25.0
0.24129176139831543,0.08132173492929246,1.0294459011216934,11.5,25.0
0.24544000625610352,0.08567182075437516,1.0440205980198483,11.5,25.0
0.24961638450622559,0.09010314120434144,1.063516907991908,11.5,25.0
0.25377488136291504,0.09463054304649438,1.086576442116705,11.5,25.0
0.2579519748687744,0.09924111431416625,1.106537104241251,11.5,25.0
0.26216554641723633,0.10390987730027003,1.1205031166649064,11.5,25.0
0.2662782669067383,0.108673283938739,1.1432175932325515,11.5,25.0
0.2704651355743408,0.11343835200217425,1.1436163352244622,11.5,25.0
0.2746162414550781,0.11824651132827758,1.1539582382648006,11.5,25.0
0.2788376808166504,0.12312719954725457,1.1713651725544771,11.5,25.0
0.28299951553344727,0.12809731060887608,1.1928266547891602,11.5,25.0
0.2871243953704834,0.13314521776144495,1.2114977166165266,11.5,25.0
0.29130101203918457,0.13825973701198516,1.2274846201296497,11.5,25.0
0.2954537868499756,0.14352754632775633,1.2642742357850798,11.5,25.0
0.29960036277770996,0.14887636185108108,1.2837157255979388,11.5,25.0
0.30377197265625,0.1542985626396305,1.301328189251857,11.5,25.0
0.30795741081237793,0.1600877625970666,1.389407989784671,11.5,25.0
0.31212568283081055,0.16610761027224374,1.4447634420425122,11.5,25.0
0.3162953853607178,0.1722258780624863,1.46838426965821,11.5,25.0
0.3204662799835205,0.1783623923086482,1.4727634190788605,11.5,25.0
