Time,Position_Robot,Speed_Robot,Speed_Wheel,Force_Wheel
7.209024429321289,7.839308279068096,0.14859507902621324,11.5,25.0
7.2131874561309814,7.839932079949828,0.14971221161589876,11.5,25.0
7.217367172241211,7.840645215222352,0.17115246540575904,11.5,25.0
7.221529960632324,7.841463249126749,0.1963281370551565,11.5,25.0
7.2256920337677,7.842260307344112,0.1912939721672081,11.5,25.0
7.229855537414551,7.843019871376481,0.18229536776841426,11.5,25.0
7.2340240478515625,7.8437960072471835,0.1862726089685279,11.5,25.0
7.238201379776001,7.8446185315490675,0.19740583245223048,11.5,25.0
7.242365598678589,7.845420393454201,0.19244685723192875,11.5,25.0
7.24651312828064,7.846179880957171,0.18227700071270878,11.5,25.0
7.250697135925293,7.846937809230326,0.18190278555718592,11.5,25.0
7.254861354827881,7.847713633560137,0.18619783915465582,11.5,25.0
7.2590296268463135,7.848582695310728,0.20857482014172626,11.5,25.0
7.2631919384002686,7.849412658970706,0.19919127839473474,11.5,25.0
7.2673499584198,7.850222053661744,0.19425472584917394,11.5,25.0
7.27152943611145,7.850997332138429,0.18606683440452912,11.5,25.0
7.275693416595459,7.851791517003091,0.1906043675189365,11.5,25.0
7.279862403869629,7.85261698397067,0.19811207221873342,11.5,25.0
7.284022808074951,7.853419811782348,0.19267867480282655,11.5,25.0
7.288187265396118,7.854185200339169,0.18369325363695685,11.5,25.0
7.292346000671387,7.85493166771186,0.17915216944591714,11.5,25.0
7.296517848968506,7.855732596308536,0.19222286320222878,11.5,25.0
7.300681114196777,7.856514560192009,0.18767133203353428,11.5,25.0
7.304861068725586,7.857260125193789,0.1789356004271128,11.5,25.0
7.309030294418335,7.857985371018826,0.1740589980088856,11.5,25.0
7.313197612762451,7.858734959457062,0.17990122517682244,11.5,25.0
7.317353010177612,7.859627621666091,0.21423893016685752,11.5,25.0
7.321516990661621,7.860482673457879,0.205212430029115,11.5,25.0
7.32569432258606,7.8613175086884945,0.20036045534774793,11.5,25.0
7.329858064651489,7.862115600849813,0.1915421187163106,11.5,25.0
7.3340160846710205,7.862992691263574,0.2105016993026102,11.5,25.0
7.338181972503662,7.8638316416855,0.20134810126217806,11.5,25.0
7.342360496520996,7.8646507749876235,0.19659199250978462,11.5,25.0
7.3465282917022705,7.865433802692098,0.18792664907390133,11.5,25.0
7.350690603256226,7.866367070961319,0.22398438461301307,11.5,25.0
7.354857683181763,7.867402522060579,0.2485082638224285,11.5,25.0
7.3590381145477295,7.868427407216564,0.24597243743638117,11.5,25.0
7.363182544708252,7.869411527103707,0.23618877291417678,11.5,25.0
7.3673646450042725,7.870512682576411,0.26427731344901706,11.5,25.0
7.371531009674072,7.87161989389774,0.2657307171189667,11.5,25.0
7.375702619552612,7.87270589391407,0.26064000391911174,11.5,25.0
7.379865407943726,7.873754573570265,0.251683117486793,11.5,25.0
7.384030818939209,7.87490770634355,0.2767518655885153,11.5,25.0
7.388185739517212,7.876057521408662,0.2759556156269794,11.5,25.0
7.392352342605591,7.877187892026393,0.2712889482554986,11.5,25.0
7.396521806716919,7.878279480773484,0.2619812993018587,11.5,25.0
7.40068507194519,7.879453520497901,0.2817695338600489,11.5,25.0
7.404863119125366,7.880623498541192,0.28079473038998176,11.5,25.0
7.409024000167847,7.881771335895809,0.27548096510797987,11.5,25.0
7.4131999015808105,7.882880183511336,0.2661234277266601,11.5,25.0
7.417361259460449,7.884046721208748,0.279969047379053,11.5,25.0
7.421524524688721,7.885216830552438,0.28082624248563515,11.5,25.0
7.4256813526153564,7.886367619174084,0.27618926919509307,11.5,25.0
7.42984938621521,7.887509107767754,0.27395726248070973,11.5,25.0
7.434016704559326,7.888748326433054,0.2974124796717869,11.5,25.0
7.4381794929504395,7.890033636335452,0.30847437657547233,11.5,25.0
7.442347049713135,7.891282757123611,0.29978898915826135,11.5,25.0
7.446517467498779,7.892517405383815,0.2963155824490073,11.5,25.0
7.450682163238525,7.89386156253989,0.3225977174579399,11.5,25.0
7.454839468002319,7.8952546180695355,0.33433332711500985,11.5,25.0
7.459007024765015,7.89660236449485,0.3234591420754119,11.5,25.0
7.4631829261779785,7.897929719485112,0.31856519766288094,11.5,25.0
7.4673357009887695,7.899350089062416,0.340888698553012,11.5,25.0
7.471518039703369,7.900799723730775,0.3479123204060982,11.5,25.0
7.47567892074585,7.902202268550129,0.33661075664498774,11.5,25.0
7.479849576950073,7.903576927964807,0.32991825952286713,11.5,25.0
7.484015464782715,7.905023765486439,0.34724100519147605,11.5,25.0
7.488177061080933,7.906484205345104,0.350505566079709,11.5,25.0
7.49233865737915,7.907896377718236,0.33892136955160646,11.5,25.0
7.496506690979004,7.909283564243693,0.3329247661095285,11.5,25.0
7.500680446624756,7.910707344689871,0.3417073070826509,11.5,25.0
7.504853248596191,7.912142113981691,0.3443446300367987,11.5,25.0
7.509022235870361,7.913530624090437,0.33324242609903654,11.5,25.0
7.513178586959839,7.914892293171978,0.32680057956984987,11.5,25.0
7.517353534698486,7.916260123869844,0.32827936748762004,11.5,25.0
7.521535158157349,7.917651073137318,0.3338278241938559,11.5,25.0
7.5256712436676025,7.918996264454563,0.3228459161388709,11.5,25.0
7.5298426151275635,7.9203202032203075,0.3177453037786205,11.5,25.0
